date,price
4/4/2016,34.3
4/5/2016,34.52
4/6/2016,37.74
4/7/2016,37.3
4/8/2016,39.74
4/11/2016,40.46
4/12/2016,42.12
4/13/2016,41.7
4/14/2016,41.45
4/15/2016,40.4
4/18/2016,39.74
4/19/2016,40.88
4/20/2016,42.72
4/21/2016,43.18
4/22/2016,42.76
4/25/2016,41.67
4/26/2016,42.52
4/27/2016,45.29
4/28/2016,46.03
4/29/2016,45.98
5/2/2016,44.75
5/3/2016,43.65
5/4/2016,43.77
5/5/2016,44.33
5/6/2016,44.58
5/9/2016,43.45
5/10/2016,44.68
5/11/2016,46.21
5/12/2016,46.64
5/13/2016,46.22
5/16/2016,47.72
5/17/2016,48.29
5/18/2016,48.12
5/19/2016,48.16
5/20/2016,47.67
5/23/2016,48.12
5/24/2016,48.04
5/25/2016,49.1
5/26/2016,49
5/27/2016,49.36
5/31/2016,49.1
6/1/2016,49.07
6/2/2016,49.14
6/3/2016,48.69
6/6/2016,49.71
6/7/2016,50.37
6/8/2016,51.23
6/9/2016,50.52
6/10/2016,49.09
6/13/2016,48.89
6/14/2016,48.49
6/15/2016,47.92
6/16/2016,46.14
6/17/2016,48
6/20/2016,49.4
6/21/2016,48.95
6/22/2016,49.16
6/23/2016,49.34
6/24/2016,46.7
6/27/2016,45.8
6/28/2016,47.93
6/29/2016,49.85
6/30/2016,48.27
7/1/2016,49.02
7/5/2016,46.73
7/6/2016,47.37
7/7/2016,45.22
7/8/2016,45.37
7/11/2016,44.73
7/12/2016,46.82
7/13/2016,44.87
7/14/2016,45.64
7/15/2016,45.93
7/18/2016,45.23
7/19/2016,44.64
7/20/2016,44.96
7/21/2016,43.96
7/22/2016,43.41
7/25/2016,42.4
7/26/2016,42.16
7/27/2016,41.9
7/28/2016,41.13
7/29/2016,41.54
8/1/2016,40.05
8/2/2016,39.5
8/3/2016,40.8
8/4/2016,41.92
8/5/2016,41.83
8/8/2016,43.06
8/9/2016,42.78
8/10/2016,41.75
8/11/2016,43.51
8/12/2016,44.47
8/15/2016,45.72
8/16/2016,46.57
8/17/2016,46.81
8/18/2016,48.2
8/19/2016,48.48
8/22/2016,46.8
8/23/2016,47.54
8/24/2016,46.29
8/25/2016,46.97
8/26/2016,47.64
8/29/2016,46.97
8/30/2016,46.32
8/31/2016,44.68
9/1/2016,43.17
9/2/2016,44.39
9/6/2016,44.85
9/7/2016,45.47
9/8/2016,47.63
9/9/2016,45.88
9/12/2016,46.28
9/13/2016,44.91
9/14/2016,43.62
9/15/2016,43.85
9/16/2016,43.04
9/19/2016,43.34
9/20/2016,43.85
9/21/2016,45.33
9/22/2016,46.1
9/23/2016,44.36
9/26/2016,45.6
9/27/2016,44.65
9/28/2016,47.07
9/29/2016,47.72
9/30/2016,47.72
10/3/2016,48.8
10/4/2016,48.67
10/5/2016,49.75
10/6/2016,50.44
10/7/2016,49.76
10/10/2016,49.76
10/11/2016,50.72
10/12/2016,50.14
10/13/2016,50.47
10/14/2016,50.35
10/17/2016,49.97
10/18/2016,50.3
10/19/2016,51.59
10/20/2016,50.31
10/21/2016,50.61
10/24/2016,50.18
10/25/2016,49.45
10/26/2016,48.75
10/27/2016,49.71
10/28/2016,48.72
10/31/2016,46.83
11/1/2016,46.66
11/2/2016,45.32
11/3/2016,44.66
11/4/2016,44.07
11/7/2016,44.88
11/8/2016,44.96
11/9/2016,45.2
11/10/2016,44.62
11/11/2016,43.39
11/14/2016,43.29
11/15/2016,45.86
11/16/2016,45.56
11/17/2016,45.37
11/18/2016,45.69
11/21/2016,47.48
11/22/2016,48.07
11/23/2016,46.72
11/25/2016,46.72
11/28/2016,45.66
11/29/2016,45.29
11/30/2016,49.41
12/1/2016,51.08
12/2/2016,51.7
12/5/2016,51.72
12/6/2016,50.95
12/7/2016,49.85
12/8/2016,50.84
12/9/2016,51.51
12/12/2016,52.74
12/13/2016,52.99
12/14/2016,51.01
12/15/2016,50.9
12/16/2016,51.93
12/19/2016,52.13
12/20/2016,52.22
12/21/2016,51.44
12/22/2016,51.98
12/23/2016,52.01
12/27/2016,52.82
12/28/2016,54.01
12/29/2016,53.8
12/30/2016,53.75
1/3/2017,52.36
1/4/2017,53.26
1/5/2017,53.77
1/6/2017,53.98
1/9/2017,51.95
1/10/2017,50.82
1/11/2017,52.19
1/12/2017,53.01
1/13/2017,52.36
1/17/2017,52.45
1/18/2017,51.12
1/19/2017,51.39
1/20/2017,52.33
1/23/2017,52.77
1/24/2017,52.38
1/25/2017,52.14
1/26/2017,53.24
1/27/2017,53.18
1/30/2017,52.63
1/31/2017,52.75
2/1/2017,53.9
